month,borough,communitydistrict,refusetonscollected,papertonscollected,mgptonscollected,resorganicstons,schoolorganictons,borough_id,leavesorganictons,xmastreetons
2025 / 03,Bronx,01,559.759999999999991,31.32,31.370000000000001,2.1,22.710000000000001,2,,
2025 / 03,Bronx,02,389.460000000000036,24.740000000000002,29.400000000000002,0.46,,2,,
2025 / 03,Bronx,03,514.120000000000005,32.590000000000003,36.619999999999997,1.72,24.359999999999999,2,,
2025 / 03,Bronx,04,967.539999999999964,54.200000000000003,67.010000000000005,1.93,15.09,2,,
2025 / 03,Bronx,05,888.670000000000073,51.25,77.159999999999997,2.07,18.710000000000001,2,,
2025 / 03,Bronx,06,592.460000000000036,33.549999999999997,41.82,0.56,12.51,2,,
2025 / 03,Bronx,07,944.970000000000027,68.180000000000007,98.129999999999995,5.4,11.380000000000001,2,,
2025 / 03,Bronx,08,535.549999999999955,64.230000000000004,77.870000000000005,12.720000000000001,,2,,
2025 / 03,Bronx,09,823.080000000000041,48.969999999999999,76.980000000000004,7.03,,2,,
2025 / 03,Bronx,10,570.259999999999991,65.340000000000003,77.950000000000003,18.949999999999999,13.26,2,,
2025 / 03,Bronx,11,771.039999999999964,59.890000000000001,68.329999999999998,8.27,23.43,2,,
2025 / 03,Bronx,12,904.920000000000073,68.019999999999996,118.120000000000005,36.600000000000001,,2,,
2025 / 03,Brooklyn,01,1576.110000000000127,165.030000000000001,100.390000000000001,7.55,8.27,3,,
2025 / 03,Brooklyn,02,738.590000000000032,139.390000000000015,99.700000000000003,19.300000000000001,11.470000000000001,3,,
2025 / 03,Brooklyn,03,1063.120000000000118,96.450000000000003,72.790000000000006,19.93,19.359999999999999,3,,
2025 / 03,Brooklyn,04,795.870000000000005,55.329999999999998,76.980000000000004,14.41,18.080000000000002,3,,
2025 / 03,Brooklyn,05,1088.670000000000073,58.910000000000004,92.140000000000001,7.55,,3,,
2025 / 03,Brooklyn,06,466.220000000000027,114.530000000000001,78.840000000000003,25.469999999999999,19.120000000000001,3,,
2025 / 03,Brooklyn,07,781.830000000000041,87.060000000000002,81.469999999999999,14.800000000000001,20.030000000000001,3,,
2025 / 03,Brooklyn,08,591.019999999999982,64.670000000000002,55.870000000000005,11.290000000000001,12.41,3,,
2025 / 03,Brooklyn,09,644.649999999999977,62.109999999999999,55.640000000000001,9.58,,3,,
2025 / 03,Brooklyn,10,751.370000000000005,89.460000000000008,91.489999999999995,17.629999999999999,27.199999999999999,3,,
2025 / 03,Brooklyn,11,1226.5,126.730000000000004,125.560000000000002,10.210000000000001,,3,,
2025 / 03,Brooklyn,12,1582.289999999999964,153.469999999999999,76.810000000000002,9.6,,3,,
2025 / 03,Brooklyn,13,512.470000000000027,38.609999999999999,47.340000000000003,4.68,27.080000000000002,3,,
2025 / 03,Brooklyn,14,1042.829999999999927,94.480000000000004,90.390000000000001,12.15,,3,,
2025 / 03,Brooklyn,15,980.560000000000059,110.719999999999999,117.090000000000003,38.810000000000002,32.600000000000001,3,,
2025 / 03,Brooklyn,16,503.220000000000027,28.609999999999999,42.800000000000004,5.850000000000001,,3,,
2025 / 03,Brooklyn,17,971.639999999999986,65.109999999999999,94.730000000000004,13.09,10.98,3,,
2025 / 03,Brooklyn,18,1201.480000000000018,133.810000000000002,152.75,33.75,,3,,
2025 / 03,Manhattan,01,331.680000000000007,81.409999999999997,54.780000000000001,2.74,,1,,
2025 / 03,Manhattan,02,426.840000000000032,87.890000000000001,63.940000000000005,5.54,5.82,1,,
2025 / 03,Manhattan,03,576.580000000000041,81.859999999999999,61.050000000000004,6.98,11.57,1,,
2025 / 03,Manhattan,04,559.919999999999959,128.069999999999993,75.850000000000009,12.1,,1,,
2025 / 03,Manhattan,05,297.759999999999991,62.609999999999999,37.090000000000003,1.82,,1,,
2025 / 03,Manhattan,06,710.450000000000045,134.400000000000006,84.450000000000003,9.82,,1,,
2025 / 03,Manhattan,07,1040.819999999999936,252.360000000000014,171.52000000000001,25.609999999999999,9.9,1,,
2025 / 03,Manhattan,08,1235,243.27000000000001,184.090000000000003,11,,1,,
2025 / 03,Manhattan,09,546.940000000000055,57.410000000000004,61.020000000000003,27.539999999999999,21.93,1,,
2025 / 03,Manhattan,10,658.090000000000032,57.75,54.109999999999999,10.220000000000001,,1,,
2025 / 03,Manhattan,11,550.129999999999995,46.829999999999998,38.160000000000004,6.640000000000001,13.620000000000001,1,,
2025 / 03,Manhattan,12,1040.1400000000001,94.090000000000003,104.049999999999997,19.77,12.710000000000001,1,,
2025 / 03,Queens,01,998.940000000000055,143.469999999999999,148.710000000000008,18.010000000000002,50.43,4,,
2025 / 03,Queens,02,690.810000000000059,101.879999999999995,95.480000000000004,7.03,52.100000000000001,4,,
2025 / 03,Queens,03,1088.6400000000001,74.030000000000001,114.200000000000003,8.859999999999999,,4,,
2025 / 03,Queens,04,998.710000000000036,78.530000000000001,108.990000000000009,6.09,,4,,
2025 / 03,Queens,05,1001.120000000000005,134.349999999999994,159.670000000000016,15.51,29.219999999999999,4,,
2025 / 03,Queens,06,593.159999999999968,76.909999999999997,80.370000000000005,13.530000000000001,,4,,
2025 / 03,Queens,07,1572.430000000000064,163.400000000000006,167.849999999999994,29.490000000000002,37.060000000000002,4,,
2025 / 03,Queens,08,753.289999999999964,87.879999999999995,79.260000000000005,13.49,,4,,
2025 / 03,Queens,09,838.620000000000005,86.969999999999999,111.659999999999997,23.449999999999999,22.949999999999999,4,,
2025 / 03,Queens,10,798.590000000000032,66.189999999999998,105.980000000000004,8.73,15.790000000000001,4,,
2025 / 03,Queens,11,585.690000000000055,82.950000000000003,84.609999999999999,16.48,22.059999999999999,4,,
2025 / 03,Queens,12,1416.100000000000136,99.460000000000008,191.650000000000006,29.02,21.830000000000002,4,,
2025 / 03,Queens,13,1042.339999999999918,92.120000000000005,175.659999999999997,11.4,16.75,4,,
