borough,ntaname,food_scrap_drop_off_site,location,hosted_by,open_months,operation_day_hours,notes,borocd,councildist,ct2010,latitude,longitude,precinct,object_id,location_point,_assembly_district,_congress_district,dsny_district,_dsny_section,dsny_zone,senate_district,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,website,app_android,app_ios,bbl,bin
Brooklyn,Bay Ridge,4th Avenue Presbyterian Church,"6753 4th Avenue, Brooklyn, NY 11220",4th Avenue Presbyterian Church,Year Round,Every day (Start Time: Dawn - End Time:  Dusk),"No meat, bones, or dairy.",310,47,3012600,40.635514,-74.022767,68,42492,"{'type': 'Point', 'coordinates': [-74.022767, 40.635514]}",51,10,BKS10,BKS101,BKS,17,18180,10,2,44,41,,,,,
Manhattan,East Midtown-Turtle Bay,Dag Hammarskjold Plaza Greenmarket,E 47th St & 2nd Ave,GrowNYC,Year Round,Wednesday (Start Time: 8:00 AM - End Time:  12:30 PM),,106,4,1009000,40.752606,-73.969036,17,42352,"{'type': 'Point', 'coordinates': [-73.969036, 40.752606]}",74,12,MN06,MN063,MN,28,12079,71,4,51,9,grownyc.org/compost,,,,
Manhattan,Hell's Kitchen,Hudson River Park's Pier 84 at W. 44th St.,Pier 84 at W. 44th St. near dog park,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),,104,3,1012901,40.76346,-74.00025,18,42320,"{'type': 'Point', 'coordinates': [-74.00025, 40.76346]}",67,12,MN04,MN043,MN,47,,12,4,10,10,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,,,,
Manhattan,East Midtown-Turtle Bay,58th Street Library FSDO,127 East 58th Street,GrowNYC,Year Round,Wednesdays (Start Time: 7:30 AM - End Time:  1:30 PM),,105,4,1011203,40.76198,-73.9693,18,42313,"{'type': 'Point', 'coordinates': [-73.9693, 40.76198]}",73,12,MN05,MN052,MN,28,12419,11,4,51,10,grownyc.org/compost,,,,
Manhattan,Tribeca-Civic Center,Tribeca Greenmarket,Greenwich St. & Duane St,GrowNYC,Year Round,Saturday (Start Time: 8:00 AM - End Time:  1:00 PM),,101,1,1003900,40.717424,-74.010793,1,42225,"{'type': 'Point', 'coordinates': [-74.010793, 40.717424]}",66,10,MN01,MN013,MN,27,12076,56,4,32,1,grownyc.org/compost,,,,
Staten Island,St. George-New Brighton,St. George Greenmarket,St. Marks Pl and Hyatt St,NYC Compost Project Hosted by Snug Harbor Cultural Center & Botanical Garden,Year Round,Saturday (Start Time: 8:00 AM - End Time:  1:00 PM),,501,49,5000300,40.641967,-74.077928,120,42185,"{'type': 'Point', 'coordinates': [-74.077928, 40.641967]}",61,11,SI01,SI012,SI,23,10369,4,1,13,74,snug-harbor.org,,,,
Manhattan,Manhattanville-West Harlem,St. Mary's Harlem,"521 W 126th St, New York, NY 10027",GrowNYC,Year Round,Friday (Start Time: 8:30 AM - End Time:  12:30 PM),"No meat, bones, or dairy",109,7,1021900,40.8149687,-73.9560903,26,42170,"{'type': 'Point', 'coordinates': [-73.9560903, 40.8149687]}",70,13,MN09,MN092,MN,30,12424,37,4,23,17,stmarysharlem.org,,,,
Brooklyn,Crown Heights (North),1100 Bergen Street Community Garden,"1107 Bergen Street, Brooklyn, NY 11216",Volunteers at 1100 Bergen Street Community Garden,Year Round,Sunday (Start Time: 10:00 AM - End Time:  3:00 PM),,308,36,3031500,40.67629,-73.94925,77,42146,"{'type': 'Point', 'coordinates': [-73.94925, 40.67629]}",56,9,BKN08,BKN082,BKN,20,17618,16,2,49,49,https://bqlt.org/garden/1100-block-bergen-st-community-garden,,,,
Brooklyn,Prospect Park,Nurture BK,"Prospect Park, West of the entrance on Parkside Av (& Ocean Av)",Nurture BK,Year Round,Sunday (Start Time: 9:00 AM - End Time:  11:00 AM),,355,39,3017700,40.654917,-73.962083,78,42130,"{'type': 'Point', 'coordinates': [-73.962083, 40.654917]}",44,10,,,BKS,20,,13,2,27,50,https://www.instagram.com/nurturebk_compost/,,,,
Brooklyn,Bushwick (West),BK Rot,"1309 Dekalb Ave, Brooklyn, NY 11221 (Know Waste Lands Community Garden)",BK Rot,Year Round,Sunday (Start Time: 12:00 PM - End Time:  3:00 PM),,304,34,3042300,40.697694,-73.925806,83,42082,"{'type': 'Point', 'coordinates': [-73.925806, 40.697694]}",53,7,BKN04,BKN041,BKN,18,18181,42,2,30,53,BKrot.org,,,,
Brooklyn,Fort Greene,Fort Greene Greenmarket,Washington Park and Myrtle Ave,GrowNYC,Year Round,Saturday (Start Time: 9:00 AM - End Time:  2:00 PM),,302,35,3003102,40.69288,-73.97391,88,42501,"{'type': 'Point', 'coordinates': [-73.97391, 40.69288]}",57,7,BKN02,BKN024,BKN,25,16865,68,2,48,55,grownyc.org/compost,,,,
